PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
161,Ruben Loftus-Cheek,Crystal Palace,2,180,0,0,0.05,0.59,0.03,0.29
162,Asmir Begovic,Bournemouth,3,270,0,0,0.00,0.00,0.00,0.00
163,Nemanja Matic,Manchester United,3,270,0,0,0.03,0.00,0.01,0.00
164,Gary Cahill,Chelsea,1,13,0,0,0.00,0.00,0.00,0.00
165,Willian,Chelsea,3,261,0,1,0.17,0.83,0.06,0.28
166,Kasey Palmer,Huddersfield,3,124,0,0,0.08,0.05,0.06,0.03
167,Lukasz Fabianski,Swansea,3,270,0,0,0.00,0.00,0.00,0.00
168,Angel Rangel,Swansea,1,1,0,0,0.00,0.00,0.00,0.00
169,Federico Fernández,Swansea,3,270,0,0,0.00,0.00,0.00,0.00
170,Ashley Williams,Everton,3,200,0,0,0.15,0.00,0.07,0.00
171,Leroy Fer,Swansea,3,270,0,1,0.08,0.33,0.03,0.11
172,Jack Cork,Burnley,3,270,0,1,0.02,0.10,0.01,0.03
173,André Ayew,West Ham,3,237,0,0,0.07,0.00,0.03,0.00
174,Gylfi Sigurdsson,Everton,2,117,0,0,0.02,0.05,0.02,0.03
175,Kyle Naughton,Swansea,3,270,0,1,0.00,0.08,0.00,0.03
176,Wayne Routledge,Swansea,3,126,0,0,0.00,0.11,0.00,0.08
177,Patrick van Aanholt,Crystal Palace,3,224,0,0,0.13,0.27,0.05,0.11
178,Jermain Defoe,Bournemouth,3,128,0,0,0.14,0.10,0.10,0.07
179,Younes Kaboul,Watford,1,90,0,0,0.00,0.00,0.00,0.00
180,Jordan Pickford,Everton,3,270,0,0,0.00,0.00,0.00,0.00
181,Dwight Gayle,Newcastle United,2,132,0,0,0.33,0.00,0.23,0.00
182,Kasper Schmeichel,Leicester,3,270,0,0,0.00,0.00,0.00,0.00
183,Danny Simpson,Leicester,3,270,0,0,0.00,0.00,0.00,0.00
184,Wes Morgan,Leicester,3,270,0,0,0.12,0.05,0.04,0.02
185,Christian Fuchs,Leicester,3,270,0,0,0.00,0.11,0.00,0.04
186,Riyad Mahrez,Leicester,3,270,0,2,0.46,0.23,0.15,0.08
187,N'Golo Kanté,Chelsea,3,270,0,0,0.10,0.12,0.03,0.04
188,Marc Albrighton,Leicester,3,241,0,1,0.11,0.89,0.04,0.33
189,Jeffrey Schlupp,Crystal Palace,1,5,0,0,0.00,0.00,0.00,0.00
190,Daniel Amartey,Leicester,1,16,0,0,0.00,0.00,0.00,0.00
191,Demarai Gray,Leicester,3,31,0,0,0.04,0.48,0.10,1.39
192,Robert Elliot,Newcastle United,3,270,0,0,0.00,0.00,0.00,0.00
193,Daryl Janmaat,Watford,1,17,0,0,0.00,0.00,0.00,0.00
194,Jamaal Lascelles,Newcastle United,3,263,0,0,0.00,0.03,0.00,0.01
195,Jonjo Shelvey,Newcastle United,1,51,0,0,0.00,0.00,0.00,0.00
196,Ayoze Pérez,Newcastle United,3,261,0,1,0.64,1.02,0.22,0.35
197,Georginio Wijnaldum,Liverpool,3,252,0,0,0.35,0.17,0.13,0.06
198,Moussa Sissoko,Tottenham,3,87,0,0,0.14,0.09,0.14,0.09
199,Andros Townsend,Crystal Palace,3,222,0,0,0.16,0.15,0.07,0.06
200,Andy King,Leicester,1,29,0,0,0.00,0.04,0.00,0.12
201,Robbie Brady,Burnley,3,259,0,1,0.50,0.98,0.18,0.34
202,Nathan Redmond,Southampton,3,270,0,1,0.71,0.59,0.24,0.20
203,Martin Olsson,Swansea,3,270,0,0,0.00,0.00,0.00,0.00
204,Ben Foster,West Bromwich Albion,3,270,0,0,0.00,0.00,0.00,0.00
205,Craig Dawson,West Bromwich Albion,3,270,0,0,0.13,0.00,0.04,0.00
206,Claudio Yacob,West Bromwich Albion,2,109,0,0,0.20,0.00,0.17,0.00
207,Darren Fletcher,Stoke,3,270,0,0,0.05,0.19,0.02,0.06
208,Saido Berahino,Stoke,2,139,0,1,0.08,0.15,0.05,0.10
209,Salomón Rondón,West Bromwich Albion,3,94,0,0,0.27,0.00,0.26,0.00
210,James McClean,West Bromwich Albion,3,169,0,0,0.14,0.13,0.07,0.07
211,Adam Smith,Bournemouth,3,189,0,0,0.03,0.08,0.01,0.04
212,Benik Afobe,Bournemouth,3,142,0,0,0.20,0.07,0.13,0.05
213,Leon Britton,Swansea,1,75,0,0,0.00,0.00,0.00,0.00
214,Fraser Forster,Southampton,3,270,0,0,0.00,0.00,0.00,0.00
215,Cuco Martina,Everton,1,43,0,0,0.00,0.05,0.00,0.10
216,José Fonte,West Ham,1,90,0,0,0.06,0.00,0.06,0.00
217,Ryan Bertrand,Southampton,3,267,0,0,0.32,0.76,0.11,0.25
218,Victor Wanyama,Tottenham,2,95,0,0,0.05,0.09,0.05,0.08
219,Shane Long,Southampton,2,32,0,0,0.00,0.38,0.00,1.08
220,Oriol Romeu,Southampton,3,270,0,0,0.04,0.36,0.01,0.12
221,James Ward-Prowse,Southampton,3,112,0,0,0.37,0.13,0.30,0.10
222,Maya Yoshida,Southampton,3,270,0,0,0.39,0.00,0.13,0.00
223,Cédric Soares,Southampton,3,270,0,0,0.17,0.05,0.06,0.02
224,Chancel Mbemba,Newcastle United,3,237,0,0,0.00,0.02,0.00,0.01
225,Paul Dummett,Newcastle United,1,7,0,0,0.00,0.12,0.00,1.54
226,Jack Butland,Stoke,3,270,0,0,0.00,0.00,0.00,0.00
227,Geoff Cameron,Stoke,3,250,0,0,0.05,0.02,0.02,0.01
228,Jonathan Walters,Burnley,2,23,0,0,0.18,0.00,0.70,0.00
229,Marko Arnautovic,West Ham,2,122,0,0,0.19,0.40,0.14,0.29
230,Mame Biram Diouf,Stoke,2,180,0,0,0.11,0.07,0.06,0.03
231,Bojan,Stoke,1,73,0,0,0.03,0.02,0.03,0.03
232,Harry Arter,Bournemouth,3,270,0,0,0.08,0.11,0.03,0.04
233,Glenn Murray,Brighton,2,95,0,0,0.00,0.06,0.00,0.06
234,Steven Davis,Southampton,3,263,0,0,0.18,0.42,0.06,0.14
235,Kyle Walker-Peters,Tottenham,1,90,0,0,0.00,0.11,0.00,0.11
236,Ryan Shawcross,Stoke,3,270,0,0,0.25,0.12,0.08,0.04
237,Erik Pieters,Stoke,3,270,0,0,0.00,0.06,0.00,0.02
238,Xherdan Shaqiri,Stoke,3,204,0,0,0.06,0.29,0.03,0.13
239,Jay Fulton,Swansea,1,15,0,0,0.00,0.00,0.00,0.00
240,Chris Brunt,West Bromwich Albion,3,270,0,1,0.07,0.76,0.02,0.25
241,Muhamed Besic,Everton,2,43,0,0,0.00,0.06,0.00,0.13
242,Kurt Zouma,Stoke,3,270,0,0,0.08,0.00,0.03,0.00
243,Phil Jones,Manchester United,3,270,0,0,0.54,0.00,0.18,0.00
244,Kyle Bartley,Swansea,2,76,0,0,0.06,0.00,0.07,0.00
245,Alex Oxlade-Chamberlain,Arsenal,3,244,0,0,0.20,0.56,0.07,0.21
246,Harry Winks,Tottenham,2,2,0,0,0.00,0.00,0.00,0.00
247,Mason Holgate,Everton,2,180,0,0,0.00,0.04,0.00,0.02
248,Joseph Gomez,Liverpool,3,181,0,1,0.00,0.61,0.00,0.30
249,James Morrison,West Bromwich Albion,1,71,0,0,0.07,0.00,0.09,0.00
250,Sam Field,West Bromwich Albion,2,158,0,0,0.00,0.00,0.00,0.00
251,Tyrone Mings,Bournemouth,1,90,0,0,0.00,0.00,0.00,0.00
252,Tom Davies,Everton,3,140,0,0,0.02,0.00,0.01,0.00
253,Sullay Kaikai,Crystal Palace,1,12,0,0,0.00,0.00,0.00,0.00
254,Mario Lemina,Southampton,2,133,0,0,0.01,0.07,0.01,0.04
255,Tom Heaton,Burnley,3,270,0,0,0.00,0.00,0.00,0.00
256,Matthew Lowton,Burnley,3,270,0,1,0.01,0.07,0.00,0.02
257,Michael Keane,Everton,3,270,0,0,0.00,0.00,0.00,0.00
258,Ben Mee,Burnley,3,270,0,0,0.67,0.07,0.22,0.02
259,Steven Defour,Burnley,3,250,0,1,0.01,0.22,0.00,0.08
260,Scott Arfield,Burnley,2,102,0,0,0.04,0.02,0.04,0.02
261,Andre Gray,Watford,3,199,0,0,0.59,0.00,0.26,0.00
262,Johann Berg Gudmundsson,Burnley,3,216,0,0,0.10,0.09,0.04,0.04
263,James Tarkowski,Burnley,3,270,0,0,0.19,0.00,0.06,0.00
264,Marko Grujic,Liverpool,1,4,0,0,0.00,0.03,0.00,0.71
265,Edimilson Fernandes,West Ham,3,170,0,0,0.11,0.03,0.06,0.02
266,Nathaniel Chalobah,Watford,3,270,0,0,0.57,0.00,0.19,0.00
267,Michy Batshuayi,Chelsea,3,80,0,0,0.15,0.00,0.17,0.00
268,Dominic Solanke,Liverpool,1,18,0,0,0.10,0.07,0.48,0.36
269,Islam Slimani,Leicester,2,25,0,0,0.42,0.02,1.53,0.08
270,Ryan Fraser,Bournemouth,2,171,0,0,0.09,0.06,0.05,0.03
271,Andrew Robertson,Liverpool,1,90,0,0,0.07,1.22,0.07,1.22
272,Jake Livermore,West Bromwich Albion,3,270,0,0,0.05,0.26,0.02,0.09
273,Sam Clucas,Swansea,1,90,0,0,0.00,0.00,0.00,0.00
274,Shkodran Mustafi,Arsenal,1,90,0,0,0.01,0.08,0.01,0.08
275,Mike van der Hoorn,Swansea,1,73,0,0,0.01,0.00,0.02,0.00
276,Javier Manquillo,Newcastle United,3,270,0,0,0.02,0.38,0.01,0.13
277,Roberto Pereyra,Watford,1,53,0,0,0.11,0.00,0.18,0.00
278,Christian Kabasele,Watford,2,95,0,0,0.00,0.02,0.00,0.02
279,Alfie Mawson,Swansea,3,270,0,0,0.12,0.00,0.04,0.00
280,Vincent Janssen,Tottenham,1,1,0,0,0.00,0.00,0.00,0.00
281,Sam McQueen,Southampton,2,18,0,0,0.00,0.02,0.00,0.08
282,Sofiane Boufal,Southampton,1,18,0,0,0.02,0.00,0.08,0.00
283,Jack Stephens,Southampton,3,270,0,0,0.08,0.10,0.03,0.03
284,Oliver McBurnie,Swansea,3,18,0,0,0.00,0.00,0.00,0.00
285,Matt Phillips,West Bromwich Albion,3,238,0,1,0.06,0.49,0.02,0.19
286,Bruno Martins Indi,Stoke,2,91,0,0,0.12,0.02,0.12,0.02
287,Jeff Hendrick,Burnley,2,180,0,0,0.22,0.22,0.11,0.11
288,Lys Mousset,Bournemouth,2,10,0,0,0.00,0.00,0.00,0.00
289,Rob Holding,Arsenal,2,159,0,0,0.11,0.00,0.06,0.00
290,Arthur Masuaku,West Ham,1,82,0,0,0.00,0.00,0.00,0.00
291,Ramadan Sobhi,Stoke,2,37,0,0,0.00,0.03,0.00,0.07
292,Trent Alexander-Arnold,Liverpool,1,90,0,0,0.00,0.17,0.00,0.17
293,Antonio Rüdiger,Chelsea,3,270,0,0,0.03,0.00,0.01,0.00
294,Charly Musonda,Chelsea,1,1,0,0,0.00,0.00,0.00,0.00
295,Danilo,Manchester City,3,184,0,1,0.21,0.10,0.10,0.05
296,Christian Atsu,Newcastle United,3,270,0,1,0.47,0.71,0.16,0.24
297,Roque Mesa,Swansea,1,68,0,0,0.00,0.00,0.00,0.00
298,Mat Ryan,Brighton,3,270,0,0,0.00,0.00,0.00,0.00
299,Sandro Ramírez,Everton,2,143,0,0,0.17,0.00,0.11,0.00
300,Benjamin Mendy,Manchester City,1,90,0,0,0.00,0.20,0.00,0.20
301,Tiemoué Bakayoko,Chelsea,2,103,0,0,0.07,0.00,0.06,0.00
302,Jonas Lössl,Huddersfield,3,270,0,0,0.00,0.00,0.00,0.00
303,Jeremie Boga,Chelsea,1,17,0,0,0.00,0.00,0.00,0.00
304,Bernardo Silva,Manchester City,3,91,0,0,0.16,0.02,0.16,0.02
305,Tomer Hemed,Brighton,3,175,0,0,0.25,0.00,0.13,0.00
306,Ashley Barnes,Burnley,2,42,0,0,0.14,0.00,0.30,0.00
307,Matthew James,Leicester,3,264,0,0,0.08,0.05,0.03,0.02
308,Tom Ince,Huddersfield,3,270,0,0,0.33,0.12,0.11,0.04
309,Liam Rosenior,Brighton,1,41,0,0,0.00,0.00,0.00,0.00
310,Mohamed Diamé,Newcastle United,2,15,0,0,0.00,0.04,0.00,0.24
311,Isaiah Brown,Brighton,1,23,0,0,0.00,0.00,0.00,0.00
312,Anthony Knockaert,Brighton,3,122,0,0,0.17,0.04,0.13,0.03
313,Kiko Femenía,Watford,3,253,0,0,0.02,0.10,0.01,0.03
314,Florian Lejeune,Newcastle United,1,33,0,0,0.00,0.00,0.00,0.00
315,Oliver Burke,West Bromwich Albion,1,1,0,0,0.00,0.03,0.00,2.45
316,Mikel Merino,Newcastle United,3,191,0,0,0.02,0.33,0.01,0.15
317,Wilfred Ndidi,Leicester,3,270,0,0,0.02,0.00,0.01,0.00
318,Luka Milivojevic,Crystal Palace,3,187,0,0,0.04,0.10,0.02,0.05
319,Declan Rice,West Ham,3,159,0,0,0.00,0.00,0.00,0.00
320,Luciano Narsingh,Swansea,1,22,0,0,0.00,0.00,0.00,0.00
321,Dominic Calvert-Lewin,Everton,3,205,0,2,0.31,0.84,0.14,0.37
322,Rekeem Harper,West Bromwich Albion,1,19,0,0,0.00,0.05,0.00,0.23
323,Jairo Riedewald,Crystal Palace,1,90,0,0,0.00,0.00,0.00,0.00
324,Tommy Smith,Huddersfield,3,239,0,0,0.01,0.23,0.01,0.09
325,Zanka,Huddersfield,3,270,0,0,1.02,0.00,0.34,0.00
326,Christopher Schindler,Huddersfield,3,270,0,0,0.00,0.86,0.00,0.29
327,Chris Löwe,Huddersfield,3,270,0,0,0.01,0.00,0.00,0.00
328,Philip Billing,Huddersfield,3,242,0,0,0.02,0.57,0.01,0.21
329,Collin Quaner,Huddersfield,3,37,0,1,0.00,0.13,0.00,0.31
330,Rajiv van La Parra,Huddersfield,3,129,0,0,0.11,0.12,0.08,0.08
331,Danny Williams,Huddersfield,2,59,0,0,0.05,0.00,0.07,0.00
332,Michael Hefele,Huddersfield,1,1,0,0,0.00,0.00,0.00,0.00
333,Davy Klaassen,Everton,2,88,0,0,0.04,0.02,0.04,0.02
334,Bruno,Brighton,3,229,0,0,0.00,0.00,0.00,0.00
335,Shane Duffy,Brighton,3,270,0,0,0.06,0.12,0.02,0.04
336,Lewis Dunk,Brighton,3,270,0,0,0.56,0.03,0.19,0.01
337,Solly March,Brighton,3,258,0,0,0.10,0.23,0.03,0.08
338,Davy Pröpper,Brighton,3,270,0,0,0.07,0.01,0.02,0.00
339,Dale Stephens,Brighton,3,270,0,0,0.00,0.06,0.00,0.02
340,Jamie Murphy,Brighton,3,158,0,0,0.06,0.01,0.03,0.01
